,Price,Forecast,Diff,Signal,Price_Return,Position,Trade,Transaction_Cost,Strategy_Return,Net_Return,Cum_Strategy_Return,Cum_Price_Return
2023-01-31,126.11167732932664,113.9554951347582,-12.156182194568444,0,,0.0,0.0,0.0,,,,
2023-02-28,95.19768357413405,93.03149084055141,-2.1661927335826334,0,-0.24513188952728093,0.0,0.0,0.0,-0.0,-0.0,1.0,0.7548681104727191
2023-03-31,104.3325284154597,103.5089719376418,-0.8235564778179025,0,0.09595658737023793,0.0,0.0,0.0,0.0,0.0,1.0,0.827302678268301
2023-04-30,127.84653555931344,125.08725056459025,-2.7592849947231883,0,0.22537560913140386,0.0,0.0,0.0,0.0,0.0,1.0,1.013756523319061
2023-05-31,136.60891359354818,134.49091056669835,-2.118003026849834,0,0.06853825170858463,0.0,0.0,0.0,0.0,0.0,1.0,1.0832376230855225
2023-06-30,128.740736983807,128.55061454656928,-0.1901224372377328,0,-0.05759636324428519,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0208470754664127
2023-07-31,125.07378640247428,124.60266917974747,-0.4711172227268179,0,-0.02848321881048388,0.0,0.0,0.0,-0.0,-0.0,1.0,0.9917700648438603
2023-08-31,122.93025307679898,123.61023290165252,0.6799798248535467,0,-0.017138150105871497,0.0,0.0,0.0,-0.0,-0.0,1.0,0.9747729606020563
2023-09-30,105.9072765274673,105.37499148559547,-0.5322850418718303,0,-0.13847670628886455,0.0,0.0,0.0,-0.0,-0.0,1.0,0.8397896116384385
2023-10-31,117.92574112939852,115.71912957970056,-2.2066115496979535,0,0.11348100901087932,0.0,0.0,0.0,0.0,0.0,1.0,0.935089784124023
2023-11-30,122.45212056326277,123.93211953934622,1.4799989760834507,0,0.03838330283544722,0.0,0.0,0.0,0.0,0.0,1.0,0.9709816184863883
2023-12-31,145.85683339328375,141.4906119794974,-4.366221413786349,0,0.19113358529327673,0.0,0.0,0.0,0.0,0.0,1.0,1.1565688164815604
