timestamp,forecast_horizon,scenario_name,stat_name,value
2023-07-31,7,carbon_shock,p50,102.65272784400457
2023-07-31,7,carbon_shock,p75,126.47617685782429
2023-07-31,7,carbon_shock,p95,158.05666241494194
2023-07-31,7,carbon_shock,mean,103.16096807357077
2023-08-31,8,carbon_shock,p5,54.0501981710437
2023-08-31,8,carbon_shock,p25,83.58446210676955
2023-08-31,8,carbon_shock,p50,104.53458455749099
2023-08-31,8,carbon_shock,p75,126.10712965041657
2023-08-31,8,carbon_shock,p95,157.2263373731613
2023-08-31,8,carbon_shock,mean,104.73371050310799
2023-09-30,9,carbon_shock,p5,52.80432527689873
2023-09-30,9,carbon_shock,p25,84.985026539237
2023-09-30,9,carbon_shock,p50,105.7785661969273
2023-09-30,9,carbon_shock,p75,126.46577656837474
2023-09-30,9,carbon_shock,p95,155.94592742307836
2023-09-30,9,carbon_shock,mean,105.17917469181059
2023-10-31,10,carbon_shock,p5,55.988570782821434
2023-10-31,10,carbon_shock,p25,86.51368295222952
2023-10-31,10,carbon_shock,p50,105.62168341521316
2023-10-31,10,carbon_shock,p75,126.19485899405885
2023-10-31,10,carbon_shock,p95,155.3466030385345
2023-10-31,10,carbon_shock,mean,105.9549062747146
2023-11-30,11,carbon_shock,p5,56.96463034598
2023-11-30,11,carbon_shock,p25,83.86201188167236
2023-11-30,11,carbon_shock,p50,105.84466634846103
2023-11-30,11,carbon_shock,p75,129.40998400613353
2023-11-30,11,carbon_shock,p95,159.72341777919448
2023-11-30,11,carbon_shock,mean,106.90293535777786
2023-12-31,12,carbon_shock,p5,54.989885591597464
2023-12-31,12,carbon_shock,p25,82.86098049612498
2023-12-31,12,carbon_shock,p50,103.71427107593914
2023-12-31,12,carbon_shock,p75,124.9962269224576
2023-12-31,12,carbon_shock,p95,156.62352197642497
2023-12-31,12,carbon_shock,mean,104.29641411974816
2023-01-31,1,gas_shock,p5,50.72282970987805
2023-01-31,1,gas_shock,p25,82.64674494626118
2023-01-31,1,gas_shock,p50,102.24344337187202
2023-01-31,1,gas_shock,p75,125.19807414650097
2023-01-31,1,gas_shock,p95,157.92023187062622
2023-01-31,1,gas_shock,mean,103.19798234184546
2023-02-28,2,gas_shock,p5,57.11849228836466
