,Price,Forecast,Diff,Signal,Price_Return,Position,Trade,Transaction_Cost,Strategy_Return,Net_Return,Cum_Strategy_Return,Cum_Price_Return,Drawdown
2023-01-31,126.11167732932664,113.9554951347582,-12.156182194568444,-1,,0.0,0.0,0.0,,,,,
2023-02-28,95.19768357413405,93.03149084055141,-2.1661927335826334,-1,-0.24513188952728093,-1.0,-1.0,0.14279652536120108,0.24513188952728093,0.24363188952728093,1.2436318895272809,0.7548681104727191,0.0
2023-03-31,104.3325284154597,103.5089719376418,-0.8235564778179025,-1,0.09595658737023793,-1.0,0.0,0.0,-0.09595658737023793,-0.09595658737023793,1.1242972174634422,0.827302678268301,-0.09595658737023793
2023-04-30,127.84653555931344,125.08725056459025,-2.7592849947231883,-1,0.22537560913140386,-1.0,0.0,0.0,-0.22537560913140386,-0.22537560913140386,0.8709080472328765,1.013756523319061,-0.2997059221729037
2023-05-31,136.60891359354818,134.49091056669835,-2.118003026849834,-1,0.06853825170858463,-1.0,0.0,0.0,-0.06853825170858463,-0.06853825170858463,0.8112175322765978,1.0832376230855225,-0.3477028539490483
2023-06-30,128.740736983807,128.55061454656928,-0.1901224372377328,-1,-0.05759636324428519,-1.0,0.0,0.0,0.05759636324428519,0.05759636324428519,0.8579407119357333,1.0208470754664127,-0.3101329105818872
2023-07-31,125.07378640247428,124.60266917974747,-0.4711172227268179,-1,-0.02848321881048388,-1.0,0.0,0.0,0.02848321881048388,0.02848321881048388,0.8823776249602212,0.9917700648438603,-0.29048327532383933
2023-08-31,122.93025307679898,123.61023290165252,0.6799798248535467,1,-0.017138150105871497,-1.0,0.0,0.0,0.017138150105871497,0.017138150105871497,0.8974999451468517,0.9747729606020563,-0.27832347119371315
2023-09-30,105.9072765274673,105.37499148559547,-0.5322850418718303,-1,-0.13847670628886455,1.0,2.0,0.3177218295824019,-0.13847670628886455,-0.14147670628886455,0.7705246090130385,0.8397896116384385,-0.38042388949520745
2023-10-31,117.92574112939852,115.71912957970056,-2.2066115496979535,-1,0.11348100901087932,-1.0,-2.0,0.35377722338819556,-0.11348100901087932,-0.11648100901087932,0.6807731250874866,0.935089784124023,-0.4525927400058417
2023-11-30,122.45212056326277,123.93211953934622,1.4799989760834507,1,0.03838330283544722,-1.0,0.0,0.0,-0.03838330283544722,-0.03838330283544722,0.6546428040650197,0.9709816184863883,-0.4736040386405199
2023-12-31,145.85683339328375,141.4906119794974,-4.366221413786349,-1,0.19113358529327673,1.0,2.0,0.4375705001798513,0.19113358529327673,0.18813358529327673,0.777803101880216,1.1565688164815604,-0.3745712791460598
